DATE,MATCH,PROB_T1,PROB_NUL,PROB_T2,PREDICTED_CLASS,ACTUAL_CLASS
2026-06-11,Mexico vs South Africa,0.5756395485590721,0.3079990301880409,0.116361421252887,2,2
2026-06-11,South Korea vs Czech Republic,0.24338658013794132,0.4608988769032184,0.29571454295884025,1,2
2026-06-12,Canada vs Bosnia and Herzegovina,0.46277777451960084,0.32440928262524105,0.21281294285515812,2,1
2026-06-12,United States vs Paraguay,0.21438645675045698,0.47390692786416294,0.3117066153853801,1,2
2026-06-13,Qatar vs Switzerland,0.06878240206488591,0.2850560133218156,0.6461615846132984,0,1
2026-06-13,Brazil vs Morocco,0.24338658013794132,0.4608988769032184,0.29571454295884025,1,1
2026-06-13,Haiti vs Scotland,0.06311008914428268,0.4655583182861765,0.4713315925695408,0,0
2026-06-13,Australia vs Turkey,0.19198152628965032,0.4580293149051865,0.3499891588051632,1,2
2026-06-14,Germany vs Curaçao,0.72202108384405,0.216744837869782,0.061234078286168066,2,2
2026-06-14,Netherlands vs Japan,0.25490607464922566,0.48271323527800897,0.2623806900727654,1,1
2026-06-14,Ivory Coast vs Ecuador,0.0968609266568794,0.3223098463175769,0.5808292270255437,0,2
2026-06-14,Sweden vs Tunisia,0.2550915569205957,0.45376866943969335,0.29113977363971094,1,2
2026-06-15,Spain vs Cape Verde,0.7243150998911823,0.21425626800509084,0.0614286321037269,2,1
2026-06-15,Belgium vs Egypt,0.43763334738941356,0.29354070323278564,0.26882594937780085,2,1
2026-06-15,Saudi Arabia vs Uruguay,0.0688224817490969,0.28463941360510947,0.6465381046457936,0,1
2026-06-15,Iran vs New Zealand,0.46962367652033726,0.32853572504597756,0.20184059843368513,2,1
2026-06-16,France vs Senegal,0.382600899903796,0.47740745351091135,0.1399916465852927,1,2
2026-06-16,Iraq vs Norway,0.09692474889241563,0.321863312280564,0.5812119388270204,0,0
2026-06-16,Argentina vs Algeria,0.5495094455434417,0.29988091476885537,0.1506096396877029,2,2
2026-06-16,Austria vs Jordan,0.42761533434408344,0.3885989255012835,0.18378574015463303,2,2
2026-06-17,Portugal vs DR Congo,0.5498463089962663,0.2994517237251853,0.1507019672785484,2,1
2026-06-17,England vs Croatia,0.29320216144369154,0.4736342708760845,0.23316356768022395,1,2
2026-06-17,Ghana vs Panama,0.07928504381546708,0.3285822801704738,0.5921326760140591,0,2
2026-06-17,Uzbekistan vs Colombia,0.07224936253408239,0.38816326614292584,0.5395873713229917,0,0
2026-06-18,Czech Republic vs South Africa,0.32649694912238075,0.4513230078445215,0.22218004303309774,1,1
2026-06-18,Switzerland vs Bosnia and Herzegovina,0.3919193078958888,0.46467948929797676,0.14340120280613444,1,2
2026-06-18,Canada vs Qatar,0.29320216144369154,0.4736342708760845,0.23316356768022395,1,2
2026-06-18,Mexico vs South Korea,0.2550915569205957,0.45376866943969335,0.29113977363971094,1,2
2026-06-19,United States vs Australia,0.27822930204812835,0.3837222696190994,0.33804842833277227,1,2
2026-06-19,Scotland vs Morocco,0.06878240206488591,0.2850560133218156,0.6461615846132984,0,0
2026-06-19,Brazil vs Haiti,0.6982709996561235,0.22637233944050625,0.0753566609033703,2,2
2026-06-19,Turkey vs Paraguay,0.24338658013794132,0.4608988769032184,0.29571454295884025,1,0
2026-06-20,Netherlands vs Sweden,0.3846358856541516,0.47994669836175347,0.13541741598409493,1,2
2026-06-20,Germany vs Ivory Coast,0.4843391588966516,0.31966891844322104,0.19599192266012735,2,2
2026-06-20,Ecuador vs Curaçao,0.7755092613218427,0.16182681994040696,0.0626639187377503,2,1
2026-06-20,Tunisia vs Japan,0.04960733239967813,0.24463889403715655,0.7057537735631653,0,0
2026-06-21,Spain vs Saudi Arabia,0.6975596992551524,0.2271604026214622,0.07527989812338545,2,2
2026-06-21,Belgium vs Iran,0.2862513446490645,0.46240602812266723,0.2513426272282683,1,1
2026-06-21,Uruguay vs Cape Verde,0.548918220753716,0.3002744791377928,0.1508073001084912,2,1
2026-06-21,New Zealand vs Egypt,0.0968609266568794,0.3223098463175769,0.5808292270255437,0,0
2026-06-22,Argentina vs Austria,0.5060247891831587,0.32882762274914107,0.16514758806770022,2,2
2026-06-22,France vs Iraq,0.6806162431993341,0.24593237836828608,0.07345137843237975,2,2
2026-06-22,Norway vs Senegal,0.3112445411626957,0.3661700435159779,0.3225854153213264,1,2
2026-06-22,Jordan vs Algeria,0.07928504381546708,0.3285822801704738,0.5921326760140591,0,0
2026-06-23,Portugal vs Uzbekistan,0.4843391588966516,0.31966891844322104,0.19599192266012735,2,2
2026-06-23,England vs Ghana,0.72202108384405,0.216744837869782,0.061234078286168066,2,1
2026-06-23,Panama vs Croatia,0.06311008914428268,0.4655583182861765,0.4713315925695408,0,0
2026-06-23,Colombia vs DR Congo,0.5629223541376017,0.2858082184919392,0.15126942737045906,2,2
2026-06-24,Switzerland vs Canada,0.24198067002694917,0.46175530156364974,0.2962640284094011,1,2
2026-06-24,Bosnia and Herzegovina vs Qatar,0.24019035081075532,0.32193408658671324,0.4378755626025314,0,2
2026-06-24,Scotland vs Brazil,0.06857725399424887,0.2842058148785962,0.647216931127155,0,0
2026-06-24,Morocco vs Haiti,0.6975596992551524,0.2271604026214622,0.07527989812338545,2,2
2026-06-24,Czech Republic vs Mexico,0.07224936253408239,0.38816326614292584,0.5395873713229917,0,0
2026-06-24,South Africa vs South Korea,0.06311008914428268,0.4655583182861765,0.4713315925695408,0,2
2026-06-25,Ecuador vs Germany,0.17561223672949597,0.3753281207854439,0.44905964248506014,0,2
2026-06-25,Curaçao vs Ivory Coast,0.07251733821356036,0.22077501929346752,0.7067076424929721,0,0
2026-06-25,Tunisia vs Netherlands,0.03375268632161287,0.1021785786092916,0.8640687350690955,0,0
2026-06-25,Japan vs Sweden,0.47285482748171814,0.33147334166699294,0.19567183085128892,2,1
2026-06-25,Turkey vs United States,0.1419258023730319,0.45852952511991474,0.3995446725070534,1,2
2026-06-25,Paraguay vs Australia,0.19245832057783172,0.4591668501951026,0.34837482922706564,1,1
2026-06-26,Norway vs France,0.06311008914428268,0.4655583182861765,0.4713315925695408,0,0
2026-06-26,Senegal vs Iraq,0.3498402942640498,0.4835909624787374,0.1665687432572128,1,2
2026-06-26,Uruguay vs Spain,0.06878240206488591,0.2850560133218156,0.6461615846132984,0,0
2026-06-26,Cape Verde vs Saudi Arabia,0.16189055325390064,0.47508653353671926,0.36302291320938007,1,1
2026-06-26,New Zealand vs Belgium,0.07080426312329546,0.23918262962562523,0.6900131072510793,0,0
2026-06-26,Egypt vs Iran,0.16189055325390064,0.47508653353671926,0.36302291320938007,1,1
2026-06-27,Panama vs England,0.05088717288481445,0.225151014372116,0.7239618127430696,0,0
2026-06-27,Croatia vs Ghana,0.5629223541376017,0.2858082184919392,0.15126942737045906,2,2
2026-06-27,Colombia vs Portugal,0.19245832057783172,0.4591668501951026,0.34837482922706564,1,1
2026-06-27,DR Congo vs Uzbekistan,0.2401912452327771,0.45834066358712716,0.3014680911800957,1,2
2026-06-27,Jordan vs Argentina,0.030415290936857593,0.19095329240637088,0.7786314166567715,0,0
2026-06-27,Algeria vs Austria,0.2018151412981994,0.4814903428095673,0.3166945158922333,1,1
2026-06-28,South Africa vs Canada,0.0968609266568794,0.3223098463175769,0.5808292270255437,0,0
2026-06-29,Brazil vs Japan,0.29320216144369154,0.4736342708760845,0.23316356768022395,1,2
2026-06-29,Germany vs Paraguay,0.33552176529148875,0.4855387350414231,0.17893949966708816,1,1
2026-06-29,Netherlands vs Morocco,0.24338658013794132,0.4608988769032184,0.29571454295884025,1,1
2026-06-30,Ivory Coast vs Norway,0.16189055325390064,0.47508653353671926,0.36302291320938007,1,0
2026-06-30,France vs Sweden,0.6408955866763116,0.2795928646648811,0.07951154865880732,2,2
2026-06-30,Mexico vs Ecuador,0.27363168089744794,0.4867487001776057,0.23961961892494638,1,2
2026-07-01,England vs DR Congo,0.5760019893647775,0.307563324563444,0.11643468607177844,2,2
2026-07-01,Belgium vs Senegal,0.3955782928101271,0.3071979898920785,0.29722371729779434,2,2
2026-07-01,United States vs Bosnia and Herzegovina,0.5398298749403115,0.2795490836257986,0.18062104143388985,2,2
2026-07-02,Spain vs Austria,0.42761533434408344,0.3885989255012835,0.18378574015463303,2,2
2026-07-02,Portugal vs Croatia,0.29320216144369154,0.4736342708760845,0.23316356768022395,1,2
2026-07-02,Switzerland vs Algeria,0.2550915569205957,0.45376866943969335,0.29113977363971094,1,2
2026-07-03,Australia vs Egypt,0.24198067002694917,0.46175530156364974,0.2962640284094011,1,1
2026-07-03,Argentina vs Cape Verde,0.72202108384405,0.216744837869782,0.061234078286168066,2,2
2026-07-03,Colombia vs Ghana,0.6806162431993341,0.24593237836828608,0.07345137843237975,2,2
