DATE,TEAM_1,TEAM_2,TARGET_1X2,TARGET_GOAL_DIFF,T1_IS_HOST,ELO_PRE_DIFF,REST_DAYS_DIFF,FORM_3_DIFF,AVG_GOALS_3_DIFF,AVG_OPP_GOALS_3_DIFF,AVG_CLEAN_SHEET_3_DIFF,FORM_10_DIFF,AVG_GOALS_10_DIFF,AVG_OPP_GOALS_10_DIFF,AVG_CLEAN_SHEET_10_DIFF
1872-11-30,Scotland,England,X,0.0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1873-03-08,England,Scotland,1,2.0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1874-03-07,Scotland,England,1,1.0,1,-40.0,0,-0.5,-1.0,1.0,0.0,-0.5,-1.0,1.0,0.0
1875-03-06,England,Scotland,X,0.0,1,-4.584930700983477,0,0.0,0.3333333333333335,-0.3333333333333335,0.0,0.0,0.3333333333333335,-0.3333333333333335,0.0
1876-03-04,Scotland,England,1,3.0,1,4.0571016864169,0,0.0,-0.3333333333333335,0.3333333333333335,0.0,0.0,-0.25,0.25,0.0
1876-03-25,Scotland,Wales,1,4.0,1,21.795015911362498,7,0.2777777777777778,1.3333333333333335,0.0,0.3333333333333333,0.033333333333333326,0.8,0.3999999999999999,0.4
1877-03-03,England,Scotland,2,-2.0,1,-62.3370529934416,0,-0.6666666666666667,-2.0,1.666666666666667,-0.6666666666666666,-0.27777777777777785,-0.7666666666666666,0.6333333333333333,-0.3
1877-03-05,Wales,Scotland,2,-2.0,1,-75.73866524759569,28,-1.0,-3.3333333333333335,3.6666666666666665,-0.6666666666666666,-0.6666666666666666,-2.2857142857142856,2.857142857142857,-0.42857142857142855
1878-03-02,Scotland,England,1,5.0,1,110.94417289930993,0,0.8888888888888888,2.0,-2.333333333333333,0.6666666666666666,0.4305555555555556,0.9166666666666667,-1.0,0.33333333333333337
1878-03-23,Scotland,Wales,1,9.0,1,120.97658419191202,-9,1.0,4.0,-2.0,0.3333333333333333,0.7407407407407407,2.7777777777777777,-1.8888888888888888,0.4444444444444444
1879-01-18,England,Wales,1,1.0,1,-4.307342979877831,0,0.0,1.0,-0.666666666666667,0.0,0.23809523809523808,1.4285714285714286,-2.2857142857142856,0.14285714285714285
1879-04-05,England,Scotland,1,1.0,1,-131.6449091830018,0,-0.6666666666666667,-4.333333333333333,3.0,-0.6666666666666666,-0.4333333333333334,-1.9,1.5,-0.375
1879-04-07,Wales,Scotland,2,-3.0,1,-140.59832766343902,28,-0.6666666666666666,-6.333333333333334,1.9999999999999996,-0.3333333333333333,-0.7333333333333333,-3.55,2.75,-0.4
1880-03-13,Scotland,England,1,1.0,1,89.49584974264917,0,0.0,2.333333333333333,-2.333333333333333,0.6666666666666666,0.425925925925926,2.011111111111111,-1.5666666666666664,0.3888888888888889
1880-03-15,Wales,England,2,-1.0,1,-60.78561187188939,28,-0.6666666666666666,-3.333333333333333,1.3333333333333335,0.0,-0.36666666666666664,-1.9000000000000001,1.1,-0.1
1880-03-27,Scotland,Wales,1,4.0,1,196.73603930298736,2,0.6666666666666666,3.0,0.3333333333333335,0.3333333333333333,0.8333333333333334,3.7,-2.4333333333333336,0.5
1881-02-26,England,Wales,2,-1.0,1,103.6059235082464,0,0.6666666666666666,3.0,0.0,0.0,0.43333333333333335,1.8285714285714285,-0.8999999999999999,0.0
1881-03-12,England,Scotland,2,-5.0,1,-138.41938734287214,-16,-0.6666666666666667,-1.9999999999999996,0.9999999999999998,-0.3333333333333333,-0.5666666666666667,-2.5,1.7,-0.5
1881-03-14,Wales,Scotland,2,-4.0,1,-202.86703010918336,14,-0.6666666666666667,-4.0,0.6666666666666665,0.3333333333333333,-0.775,-4.175,2.1,-0.275
1882-02-18,Northern Ireland,England,2,-13.0,1,41.22840291801367,-16,0.16666666666666669,-0.33333333333333326,-2.0,0.0,0.16666666666666669,-1.0,-2.4,0.0
1882-02-25,Wales,Northern Ireland,1,6.0,1,-67.94723364333095,23,0.3333333333333333,1.0,-9.666666666666666,0.3333333333333333,0.1111111111111111,0.6666666666666666,-9.333333333333334,0.1111111111111111
1882-03-11,Scotland,England,1,4.0,1,150.4040394793583,9,0.6666666666666667,0.6666666666666661,-1.3333333333333335,-0.3333333333333333,0.5,1.8000000000000003,-1.7000000000000002,0.19999999999999998
1882-03-13,Wales,England,1,2.0,1,-35.735829449266475,14,0.3333333333333333,-2.0,-1.6666666666666665,0.0,-0.2,-1.9000000000000001,0.0,0.0
1882-03-25,Scotland,Wales,1,5.0,1,187.780371068686,2,0.33333333333333337,1.0,-2.0,0.0,0.6000000000000001,3.3,-1.7999999999999998,0.19999999999999998
1883-02-03,England,Wales,1,5.0,1,1.7690834169532081,0,-0.3333333333333333,1.666666666666667,0.3333333333333335,0.3333333333333333,0.10000000000000003,1.5999999999999999,0.0,0.0
1883-02-24,England,Northern Ireland,1,7.0,1,13.361349752392925,-9,0.3333333333333333,2.5,-6.666666666666666,0.3333333333333333,0.5,3.2,-7.1,0.2
1883-03-10,England,Scotland,2,-1.0,1,-167.14797726390748,-16,-0.33333333333333337,0.0,1.0,0.3333333333333333,-0.4,-1.2000000000000002,1.2999999999999998,0.0
1883-03-12,Wales,Scotland,2,-3.0,1,-239.00229559585932,28,-0.6666666666666667,-2.666666666666666,3.333333333333333,-0.3333333333333333,-0.6000000000000001,-3.2,1.7000000000000002,-0.19999999999999998
1883-03-17,Northern Ireland,Wales,X,0.0,1,17.040149468534082,16,0.0,0.3333333333333333,4.666666666666667,0.0,-0.3,-1.3666666666666667,5.7,-0.1
1884-01-26,Northern Ireland,Scotland,2,-5.0,1,-239.07692048039075,0,-0.8888888888888888,-3.0,4.333333333333333,-0.6666666666666666,-0.8166666666666667,-3.9000000000000004,5.5,-0.3
1884-02-09,Wales,Northern Ireland,1,6.0,1,-7.015342379121876,16,0.0,0.0,-1.333333333333333,0.0,0.26666666666666666,1.4,-3.4999999999999996,0.1
1884-02-23,Northern Ireland,England,2,-7.0,1,-70.21462051936055,-16,-0.5555555555555556,-4.333333333333334,3.0,-0.6666666666666666,-0.34444444444444444,-3.5666666666666664,3.8,-0.3
1884-03-15,Scotland,England,1,1.0,1,189.38293517203124,9,0.33333333333333337,-2.0000000000000004,-0.6666666666666666,0.3333333333333333,0.5,0.20000000000000018,-1.2999999999999998,0.10000000000000003
1884-03-17,Wales,England,2,-4.0,1,-42.37125782591056,28,0.1111111111111111,-1.0,-0.3333333333333335,0.3333333333333333,0.033333333333333326,-1.7999999999999998,0.5999999999999996,-0.09999999999999998
1884-03-29,Scotland,Wales,1,3.0,1,269.4539417909193,2,0.5555555555555556,0.6666666666666665,-1.6666666666666667,0.6666666666666667,0.5666666666666667,2.1999999999999997,-1.7000000000000002,0.2
1885-02-28,England,Northern Ireland,1,4.0,1,109.74867499398101,0,0.6666666666666666,3.6666666666666665,-5.666666666666666,0.3333333333333333,0.4523809523809524,3.971428571428572,-4.614285714285714,0.4
1885-03-14,England,Wales,X,0.0,1,98.39864164786536,-16,0.3333333333333333,0.33333333333333304,-2.333333333333333,0.3333333333333333,0.26666666666666666,2.6,-1.6,0.4
1885-03-14,Scotland,Northern Ireland,1,6.0,1,322.5670032744031,16,1.0,3.0,-5.666666666666667,0.6666666666666666,0.9583333333333334,3.825,-5.675,0.4
1885-03-21,England,Scotland,X,0.0,1,-195.96986994523422,0,-0.2222222222222222,-1.333333333333333,-0.6666666666666667,0.3333333333333333,-0.4666666666666667,-1.0,0.8,0.0
1885-03-23,Wales,Scotland,2,-7.0,1,-273.1139519775859,7,-0.6666666666666667,-3.6666666666666665,1.6666666666666667,0.0,-0.5666666666666667,-1.9,1.9000000000000001,-0.30000000000000004
1885-04-11,Northern Ireland,Wales,2,-6.0,1,-43.16298669804337,9,-0.1111111111111111,0.0,2.333333333333334,0.0,-0.22962962962962963,-0.9444444444444444,3.1555555555555554,-0.1
1885-11-28,United States,Canada,2,-1.0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1886-02-27,Wales,Northern Ireland,1,5.0,1,78.2190726281251,0,0.4444444444444444,2.0,-3.0000000000000004,0.0,0.23333333333333334,1.1,-3.4000000000000004,0.1
1886-03-13,Northern Ireland,England,2,-5.0,1,-180.72225682551584,-16,-0.5555555555555556,-0.6666666666666667,6.333333333333333,-0.3333333333333333,-0.5333333333333333,-2.8,4.7,-0.4
1886-03-20,Northern Ireland,Scotland,2,-5.0,1,-373.57299100993055,-23,-0.7777777777777778,-4.666666666666667,5.0,0.0,-0.9,-3.5999999999999996,5.0,-0.4
1886-03-27,Scotland,England,X,0.0,1,176.13522184361136,-7,0.2222222222222222,2.6666666666666665,0.33333333333333326,0.0,0.2666666666666667,0.7000000000000002,0.09999999999999998,0.0
1886-03-29,Wales,England,2,-2.0,1,-91.15432100118278,28,0.11111111111111105,2.0000000000000004,2.3333333333333335,0.3333333333333333,-0.23333333333333334,-1.1,1.9,-0.09999999999999998
1886-04-10,Scotland,Wales,1,3.0,1,263.45658785259434,2,0.11111111111111116,0.6666666666666661,-0.3333333333333335,-0.3333333333333333,0.5,1.6999999999999997,-1.6,0.09999999999999998
1886-11-25,United States,Canada,1,1.0,1,-40.0,0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0
1887-02-05,England,Northern Ireland,1,7.0,1,230.00217560685883,0,0.7777777777777778,2.3333333333333335,-5.0,0.0,0.5666666666666667,2.1,-4.8,0.2
1887-02-19,Scotland,Northern Ireland,1,3.0,1,388.1694153438832,16,0.7777777777777778,3.0,-5.333333333333334,0.0,0.8666666666666667,3.4000000000000004,-5.5,0.3
1887-02-26,England,Wales,1,4.0,1,136.49892541088025,-9,0.4444444444444445,1.333333333333333,-1.666666666666667,0.0,0.3333333333333333,1.0,-2.0,0.09999999999999998
1887-03-12,Northern Ireland,Wales,1,3.0,1,-101.66013490676937,7,0.0,0.33333333333333337,2.3333333333333335,0.0,-0.3333333333333333,-1.5,3.3,-0.2
1887-03-19,England,Scotland,2,-1.0,1,-132.69952582069732,-7,0.2222222222222222,1.666666666666667,-0.6666666666666667,0.6666666666666666,-0.16666666666666674,-1.1999999999999997,-0.4,0.2
1887-03-21,Wales,Scotland,2,-2.0,1,-332.64771804034285,7,-1.0,-3.0,2.666666666666667,0.0,-0.6333333333333333,-2.1999999999999997,2.2,0.0
1888-02-04,England,Wales,1,4.0,1,179.66120254851808,0,0.6666666666666666,3.9999999999999996,-2.3333333333333335,0.6666666666666666,0.4666666666666666,1.4,-2.4000000000000004,0.30000000000000004
1888-03-03,Wales,Northern Ireland,1,11.0,1,34.65094451505888,-2,-0.3333333333333333,-1.0,-0.3333333333333335,0.0,0.13333333333333333,0.5999999999999999,-2.5,0.1
1888-03-10,Scotland,Wales,1,4.0,1,335.4012651342923,23,0.6666666666666667,-1.0,-1.3333333333333335,0.0,0.5666666666666667,1.3000000000000003,-2.0,-0.1
1888-03-17,Scotland,England,2,-5.0,1,157.83734480729981,-23,0.33333333333333337,-0.33333333333333304,-0.33333333333333326,0.0,0.16666666666666674,0.8999999999999999,0.29999999999999993,-0.19999999999999998
1888-03-24,Northern Ireland,Scotland,2,-8.0,1,-382.63444232414736,14,-0.3333333333333333,-0.6666666666666667,3.333333333333333,-0.3333333333333333,-0.6666666666666667,-2.3,4.6,-0.1
1888-04-07,Northern Ireland,England,2,-4.0,1,-285.7945510497548,-7,-0.3333333333333333,-2.0,6.0,-0.3333333333333333,-0.6,-2.1,5.8,-0.3
1888-09-19,Scotland,Canada,1,4.0,1,206.39343647150554,0,0.16666666666666663,3.5,1.1666666666666665,-0.5,0.33333333333333337,2.9000000000000004,0.10000000000000009,-0.4
1889-02-23,England,Wales,1,3.0,1,222.67650469394334,0,0.6666666666666667,0.666666666666667,-2.666666666666667,0.0,0.46666666666666673,1.0,-2.0,0.09999999999999998
1889-03-02,England,Northern Ireland,1,5.0,1,307.425184357583,-23,1.0,3.666666666666667,-7.999999999999999,0.3333333333333333,0.7333333333333334,2.9000000000000004,-5.5,0.3
1889-03-09,Scotland,Northern Ireland,1,7.0,1,412.2334699257474,23,0.6666666666666666,3.333333333333334,-4.666666666666666,0.3333333333333333,0.7333333333333334,2.8,-4.7,0.2
1889-04-13,England,Scotland,2,-1.0,1,-96.57190630836453,0,0.0,-2.0,0.33333333333333337,-0.6666666666666666,0.0,0.20000000000000018,-0.4,0.0
1889-04-15,Wales,Scotland,X,0.0,1,-357.0305613988685,28,-0.6666666666666667,-0.3333333333333339,2.3333333333333335,-0.3333333333333333,-0.7,-2.0,1.7000000000000002,-0.09999999999999998
1889-04-27,Northern Ireland,Wales,2,-2.0,1,-92.06202103489795,18,-0.1111111111111111,0.0,3.0,-0.3333333333333333,-0.033333333333333326,-0.5,3.3000000000000003,-0.2
1890-02-08,Wales,Northern Ireland,1,3.0,0,121.70427529323342,0,0.4444444444444444,0.6666666666666666,-3.666666666666666,0.3333333333333333,0.13333333333333333,0.7,-3.1999999999999997,0.2
1890-03-15,Northern Ireland,England,2,-8.0,1,-335.99058273315677,0,-0.6666666666666666,-3.0,3.333333333333333,0.0,-0.7000000000000001,-3.0999999999999996,4.800000000000001,-0.3
1890-03-15,Wales,England,2,-2.0,1,-192.8035467369864,30,0.11111111111111116,-1.3333333333333335,-0.6666666666666667,0.3333333333333333,-0.46666666666666673,-2.0,1.6,-0.09999999999999998
1890-03-22,Scotland,Wales,1,5.0,1,307.93994797469645,23,0.11111111111111116,0.3333333333333335,-1.3333333333333335,0.6666666666666666,0.5,1.4,-1.3,0.2
1890-03-29,Northern Ireland,Scotland,2,-3.0,1,-457.12334625195103,7,-0.7777777777777778,-1.3333333333333333,5.0,-0.6666666666666666,-0.7333333333333334,-2.5999999999999996,4.8999999999999995,-0.5
