MATCH_ID,MATCH_DATE,TOURNAMENT,TEAM_ID,OPP_TEAM_ID,GOALS,OPP_GOALS,IS_HOST,TOURNAMENT_CATEGORY
15378,1986-06-25,FIFA World Cup,Germany,France,2.0,0.0,0,World Cup
15379,1986-06-28,FIFA World Cup,France,Belgium,4.0,2.0,0,World Cup
15379,1986-06-28,FIFA World Cup,Belgium,France,2.0,4.0,0,World Cup
15380,1986-06-29,FIFA World Cup,Argentina,Germany,3.0,2.0,0,World Cup
15380,1986-06-29,FIFA World Cup,Germany,Argentina,2.0,3.0,0,World Cup
15381,1986-06-30,Friendly,Myanmar,India,3.0,1.0,1,Friendly
15381,1986-06-30,Friendly,India,Myanmar,1.0,3.0,0,Friendly
15382,1986-07-06,Friendly,Malawi,Uganda,2.0,1.0,1,Friendly
15382,1986-07-06,Friendly,Uganda,Malawi,1.0,2.0,0,Friendly
15383,1986-07-08,Friendly,Malawi,Uganda,0.0,0.0,1,Friendly
15383,1986-07-08,Friendly,Uganda,Malawi,0.0,0.0,0,Friendly
15384,1986-07-10,Friendly,Malawi,Uganda,0.0,0.0,1,Friendly
