MATCH_ID,MATCH_DATE,TOURNAMENT,TEAM_ID,OPP_TEAM_ID,GOALS,OPP_GOALS,IS_HOST,TOURNAMENT_CATEGORY,MATCH_HASH,ELO_POST,AVG_GOALS_10,AVG_OPP_GOALS_10
47103.0,2024-03-24,CONCACAF Nations League,United States,Mexico,2.0,0.0,1,Nations League,2024-03-24 00:00:00_Mexico_United States,1827.5659142386703,2.2,1.0
47104.0,2024-03-24,CONCACAF Nations League,Jamaica,Panama,1.0,0.0,0,Nations League,2024-03-24 00:00:00_Jamaica_Panama,1659.9060697257462,1.6,1.2
47104.0,2024-03-24,CONCACAF Nations League,Panama,Jamaica,0.0,1.0,0,Nations League,2024-03-24 00:00:00_Jamaica_Panama,1719.6208222471575,1.8,0.9
47105.0,2024-03-24,Friendly,Ecuador,Italy,0.0,2.0,0,Friendly,2024-03-24 00:00:00_Ecuador_Italy,1817.9351115494096,1.3,0.5
47105.0,2024-03-24,Friendly,Italy,Ecuador,2.0,0.0,0,Friendly,2024-03-24 00:00:00_Ecuador_Italy,1889.1972900587339,2.1,1.2
47106.0,2024-03-25,Friendly,Angola,Comoros,0.0,0.0,0,Friendly,2024-03-25 00:00:00_Angola_Comoros,1552.1068980973582,1.2,0.5
47106.0,2024-03-25,Friendly,Comoros,Angola,0.0,0.0,0,Friendly,2024-03-25 00:00:00_Angola_Comoros,1460.1119170774678,1.5,1.3
47107.0,2024-03-25,Friendly,Albania,Sweden,0.0,1.0,0,Friendly,2024-03-25 00:00:00_Albania_Sweden,1600.9501227828925,1.4,0.7
47107.0,2024-03-25,Friendly,Sweden,Albania,1.0,0.0,1,Friendly,2024-03-25 00:00:00_Albania_Sweden,1733.9369542840484,2.0,1.7
47108.0,2024-03-25,Friendly,Montenegro,North Macedonia,1.0,0.0,0,Friendly,2024-03-25 00:00:00_Montenegro_North Macedonia,1579.375798981857,1.4,1.7
47108.0,2024-03-25,Friendly,North Macedonia,Montenegro,0.0,1.0,0,Friendly,2024-03-25 00:00:00_Montenegro_North Macedonia,1596.8215949600794,1.3,2.1
47109.0,2024-03-25,Friendly,Congo,Gabon,1.0,1.0,0,Friendly,2024-03-25 00:00:00_Congo_Gabon,1415.1778182579376,1.1,2.1
47109.0,2024-03-25,Friendly,Gabon,Congo,1.0,1.0,0,Friendly,2024-03-25 00:00:00_Congo_Gabon,1524.3100333108237,1.3,1.3
47110.0,2024-03-25,Friendly,Cyprus,Serbia,0.0,1.0,1,Friendly,2024-03-25 00:00:00_Cyprus_Serbia,1383.2506408773593,0.7,2.8
47110.0,2024-03-25,Friendly,Serbia,Cyprus,1.0,0.0,0,Friendly,2024-03-25 00:00:00_Cyprus_Serbia,1740.32244327601,1.8,1.2
47111.0,2024-03-25,FIFA Series,Bhutan,Sri Lanka,0.0,2.0,0,Other,2024-03-25 00:00:00_Bhutan_Sri Lanka,1038.0275759393933,0.7,2.4
47111.0,2024-03-25,FIFA Series,Sri Lanka,Bhutan,2.0,0.0,1,Other,2024-03-25 00:00:00_Bhutan_Sri Lanka,1081.9130795941107,1.0,1.9
47112.0,2024-03-25,FIFA Series,Mongolia,Tanzania,0.0,3.0,0,Other,2024-03-25 00:00:00_Mongolia_Tanzania,1171.573022879964,0.4,1.2
47112.0,2024-03-25,FIFA Series,Tanzania,Mongolia,3.0,0.0,0,Other,2024-03-25 00:00:00_Mongolia_Tanzania,1467.0467037928822,0.4,1.0
47113.0,2024-03-25,FIFA Series,Bermuda,Guinea,1.0,5.0,0,Other,2024-03-25 00:00:00_Bermuda_Guinea,1397.533017079997,1.3,1.7
47113.0,2024-03-25,FIFA Series,Guinea,Bermuda,5.0,1.0,0,Other,2024-03-25 00:00:00_Bermuda_Guinea,1562.3154807290352,1.5,0.9
47114.0,2024-03-25,FIFA Series,Cape Verde,Equatorial Guinea,1.0,0.0,0,Other,2024-03-25 00:00:00_Cape Verde_Equatorial Guinea,1625.92330074676,1.2,0.7
47114.0,2024-03-25,FIFA Series,Equatorial Guinea,Cape Verde,0.0,1.0,0,Other,2024-03-25 00:00:00_Cape Verde_Equatorial Guinea,1546.3624135720568,1.3,1.2
47115.0,2024-03-25,FIFA Series,Azerbaijan,Bulgaria,1.0,1.0,1,Other,2024-03-25 00:00:00_Azerbaijan_Bulgaria,1475.875189219347,1.0,1.8
47115.0,2024-03-25,FIFA Series,Bulgaria,Azerbaijan,1.0,1.0,0,Other,2024-03-25 00:00:00_Azerbaijan_Bulgaria,1509.3343155004707,0.8,1.6
47116.0,2024-03-25,FIFA Series,Andorra,Bolivia,0.0,1.0,0,Other,2024-03-25 00:00:00_Andorra_Bolivia,1206.3321143536532,0.4,1.9
47116.0,2024-03-25,FIFA Series,Bolivia,Andorra,1.0,0.0,0,Other,2024-03-25 00:00:00_Andorra_Bolivia,1573.415981426256,0.7,2.0
47117.0,2024-03-25,FIFA Series,Central African Republic,Papua New Guinea,4.0,0.0,0,Other,2024-03-25 00:00:00_Central African Republic_Papua New Guinea,1403.0515275659334,1.8,1.2
47117.0,2024-03-25,FIFA Series,Papua New Guinea,Central African Republic,0.0,4.0,0,Other,2024-03-25 00:00:00_Central African Republic_Papua New Guinea,1436.287472190307,1.1,2.2
47118.0,2024-03-26,Friendly,Belarus,Malta,0.0,0.0,0,Friendly,2024-03-26 00:00:00_Belarus_Malta,1481.8073881857435,0.9,1.1
47118.0,2024-03-26,Friendly,Malta,Belarus,0.0,0.0,1,Friendly,2024-03-26 00:00:00_Belarus_Malta,1339.1103826376932,0.5,2.0
47119.0,2024-03-26,Friendly,Latvia,Liechtenstein,1.0,1.0,0,Friendly,2024-03-26 00:00:00_Latvia_Liechtenstein,1380.9685182647108,0.6,2.2
47119.0,2024-03-26,Friendly,Liechtenstein,Latvia,1.0,1.0,0,Friendly,2024-03-26 00:00:00_Latvia_Liechtenstein,1124.7467423820551,0.1,2.8
47120.0,2024-03-26,Friendly,Ivory Coast,Uruguay,2.0,1.0,0,Friendly,2024-03-26 00:00:00_Ivory Coast_Uruguay,1726.9579580479055,1.7,1.1
47120.0,2024-03-26,Friendly,Uruguay,Ivory Coast,1.0,2.0,0,Friendly,2024-03-26 00:00:00_Ivory Coast_Uruguay,1888.3085520994784,2.2,0.8
47121.0,2024-03-26,Friendly,Hungary,Kosovo,2.0,0.0,1,Friendly,2024-03-26 00:00:00_Hungary_Kosovo,1778.8564336739303,1.8,0.8
47121.0,2024-03-26,Friendly,Kosovo,Hungary,0.0,2.0,0,Friendly,2024-03-26 00:00:00_Hungary_Kosovo,1531.6785138177988,1.0,0.9
47122.0,2024-03-26,Friendly,Germany,Netherlands,2.0,1.0,1,Friendly,2024-03-26 00:00:00_Germany_Netherlands,1883.6323058359478,1.5,1.9
47122.0,2024-03-26,Friendly,Netherlands,Germany,1.0,2.0,0,Friendly,2024-03-26 00:00:00_Germany_Netherlands,1926.8895685402233,2.5,1.0
47123.0,2024-03-26,Friendly,Belgium,England,2.0,2.0,0,Friendly,2024-03-26 00:00:00_Belgium_England,1942.197316981457,2.3,0.6
47123.0,2024-03-26,Friendly,England,Belgium,2.0,2.0,1,Friendly,2024-03-26 00:00:00_Belgium_England,1953.6061286090442,2.4,0.5
47124.0,2024-03-26,Friendly,El Salvador,Honduras,1.0,1.0,0,Friendly,2024-03-26 00:00:00_El Salvador_Honduras,1492.1307780676514,0.7,1.6
47124.0,2024-03-26,Friendly,Honduras,El Salvador,1.0,1.0,0,Friendly,2024-03-26 00:00:00_El Salvador_Honduras,1554.4321195350803,1.3,0.9
47125.0,2024-03-26,Friendly,Denmark,Faroe Islands,2.0,0.0,1,Friendly,2024-03-26 00:00:00_Denmark_Faroe Islands,1783.6678426255514,1.6,0.9
47125.0,2024-03-26,Friendly,Faroe Islands,Denmark,0.0,2.0,0,Friendly,2024-03-26 00:00:00_Denmark_Faroe Islands,1307.344031197995,0.5,1.5
47126.0,2024-03-26,Friendly,Armenia,Czech Republic,1.0,2.0,0,Friendly,2024-03-26 00:00:00_Armenia_Czech Republic,1499.9565426828394,1.1,1.5
47126.0,2024-03-26,Friendly,Czech Republic,Armenia,2.0,1.0,1,Friendly,2024-03-26 00:00:00_Armenia_Czech Republic,1727.1729789724648,1.6,0.8
47127.0,2024-03-26,Friendly,Colombia,Romania,3.0,2.0,0,Friendly,2024-03-26 00:00:00_Colombia_Romania,1927.6766369081797,1.3,0.5
47127.0,2024-03-26,Friendly,Romania,Colombia,2.0,3.0,0,Friendly,2024-03-26 00:00:00_Colombia_Romania,1680.246641896946,1.5,0.6
47128.0,2024-03-26,Friendly,Chile,France,2.0,3.0,0,Friendly,2024-03-26 00:00:00_Chile_France,1710.5479937002456,1.4,0.7
47128.0,2024-03-26,Friendly,France,Chile,3.0,2.0,1,Friendly,2024-03-26 00:00:00_Chile_France,2011.793315011787,3.0,0.8
47129.0,2024-03-26,Friendly,Mauritania,Morocco,0.0,0.0,0,Friendly,2024-03-26 00:00:00_Mauritania_Morocco,1492.2114196939215,0.6,1.2
47129.0,2024-03-26,Friendly,Morocco,Mauritania,0.0,0.0,1,Friendly,2024-03-26 00:00:00_Mauritania_Morocco,1784.615853770078,1.6,0.5
47130.0,2024-03-26,Friendly,Dominican Republic,Peru,1.0,4.0,0,Friendly,2024-03-26 00:00:00_Dominican Republic_Peru,1413.4977136679006,1.9,1.2
47130.0,2024-03-26,Friendly,Peru,Dominican Republic,4.0,1.0,1,Friendly,2024-03-26 00:00:00_Dominican Republic_Peru,1740.663949963574,0.5,1.2
47131.0,2024-03-26,Friendly,Norway,Slovakia,1.0,1.0,1,Friendly,2024-03-26 00:00:00_Norway_Slovakia,1702.3731061376425,2.3,1.1
47131.0,2024-03-26,Friendly,Slovakia,Norway,1.0,1.0,0,Friendly,2024-03-26 00:00:00_Norway_Slovakia,1674.7450831660992,1.7,1.0
47132.0,2024-03-26,Friendly,Republic of Ireland,Switzerland,0.0,1.0,1,Friendly,2024-03-26 00:00:00_Republic of Ireland_Switzerland,1618.2548556488316,1.0,1.1
47132.0,2024-03-26,Friendly,Switzerland,Republic of Ireland,1.0,0.0,0,Friendly,2024-03-26 00:00:00_Republic of Ireland_Switzerland,1762.699309517765,1.7,1.1
47133.0,2024-03-26,Friendly,Northern Ireland,Scotland,1.0,0.0,0,Friendly,2024-03-26 00:00:00_Northern Ireland_Scotland,1531.5426159862473,0.8,1.4
47133.0,2024-03-26,Friendly,Scotland,Northern Ireland,0.0,1.0,1,Friendly,2024-03-26 00:00:00_Northern Ireland_Scotland,1729.103126152456,1.6,1.9
47134.0,2024-03-26,Friendly,Benin,Senegal,0.0,1.0,0,Friendly,2024-03-26 00:00:00_Benin_Senegal,1448.4602425161422,1.1,1.6
47134.0,2024-03-26,Friendly,Senegal,Benin,1.0,0.0,0,Friendly,2024-03-26 00:00:00_Benin_Senegal,1789.6424216908033,1.8,0.3
47135.0,2024-03-26,Oceania Nations Cup qualification,Cook Islands,Tonga,1.0,0.0,0,Qualifier,2024-03-26 00:00:00_Cook Islands_Tonga,1315.9589633521682,0.4,3.2
47135.0,2024-03-26,Oceania Nations Cup qualification,Tonga,Cook Islands,0.0,1.0,1,Qualifier,2024-03-26 00:00:00_Cook Islands_Tonga,1240.9310338339396,1.1,5.1
47136.0,2024-03-26,Friendly,Brazil,Spain,3.0,3.0,0,Friendly,2024-03-26 00:00:00_Brazil_Spain,1954.393750448771,1.6,1.4
47136.0,2024-03-26,Friendly,Spain,Brazil,3.0,3.0,1,Friendly,2024-03-26 00:00:00_Brazil_Spain,1934.021664309326,2.4,0.7
47137.0,2024-03-26,Friendly,Estonia,Finland,1.0,2.0,0,Friendly,2024-03-26 00:00:00_Estonia_Finland,1415.995037574483,0.4,2.8
